Network,NetworkCode,ProjectID,ProjectName
Appalachian Highlands Network,APHN,APHN_WQ,Appalachian Highlands Network Long Term Water Resource Monitoring
Cumberland Piedmont Network,CUPN,ABLI_WQ,"CUPN WQ Monitoring, ABLI"
Cumberland Piedmont Network,CUPN,CARL_WQ,"CUPN WQ Monitoring, CARL"
Cumberland Piedmont Network,CUPN,CHCH_WQ,"CUPN WQ Monitoring, CHCH"
Cumberland Piedmont Network,CUPN,COWP_WQ,"CUPN WQ Monitoring, COWP"
Cumberland Piedmont Network,CUPN,CUGA_WQ,"CUPN WQ Monitoring, CUGA"
Cumberland Piedmont Network,CUPN,FODO_WQ,"CUPN WQ Monitoring, FODO"
Cumberland Piedmont Network,CUPN,GUCO_WQ,"CUPN WQ Monitoring, GUCO"
Cumberland Piedmont Network,CUPN,KIMO_WQ,"CUPN WQ Monitoring, KIMO"
Cumberland Piedmont Network,CUPN,LIRI_WQ,"CUPN WQ Monitoring, LIRI"
Cumberland Piedmont Network,CUPN,MACA_WQ,"CUPN WQ Monitoring, MACA"
Cumberland Piedmont Network,CUPN,NISI_WQ,"CUPN WQ Monitoring, NISI"
Cumberland Piedmont Network,CUPN,RUCA_WQ,"CUPN WQ Monitoring, RUCA"
Cumberland Piedmont Network,CUPN,SHIL_WQ,"CUPN WQ Monitoring, SHIL"
Cumberland Piedmont Network,CUPN,STRI_WQ,"CUPN WQ Monitoring, STRI"
Eastern Rivers and Mountains Network,ERMN,ERMN_BMI,Eastern Rivers and Mountains Network Benthic Macroinvertebrate Monitoring
Eastern Rivers and Mountains Network,ERMN,ERMN_PWSM,Eastern Rivers and Mountains Network Pilot Wadeable Stream Monitoring
Great Lakes Network,GLKN,GLKNBACC_UWLAX_DF,Great Lakes Network Bioaccumulative Contaminant Monitoring - UW LaCrosse Dragonflies
Great Lakes Network,GLKN,GLKNBACC_UWLAX_FISH,Great Lakes Network Bioaccumulative Contaminant Monitoring - UW LaCrosse Fish
Great Lakes Network,GLKN,GLKNLKWQ,Great Lakes Network Inland Lakes Water Quality Monitoring
Great Lakes Network,GLKN,GLKNRVWQ,Great Lakes Network Large Rivers Water Quality Monitoring
Greater Yellowstone Network,GRYN,BICAWQ01,Bighorn Canyon NRA - GRYN Water Quality Monitoring
Greater Yellowstone Network,GRYN,GRTEWQ01,Grand Teton National Park - GRYN Water Quality Monitoring
Greater Yellowstone Network,GRYN,YELL_SBC_STUDY,Soda Butte Creek Water Quality Study after McLaren Tailings Restoration
Greater Yellowstone Network,GRYN,YELLWQ01,Yellowstone National Park - GRYN Water Quality Monitoring
Gulf Coast Network,GULN,BITH_HAR,Harrel's WQ Monitoring in Big Thicket National Preserve
Gulf Coast Network,GULN,BITH_WQ,GULN WQ Monitoring at Big Thicket National Preserve
Gulf Coast Network,GULN,GUIS_WQ,GULN WQ Monitoring at Gulf Islands National Seashore
Gulf Coast Network,GULN,JELA_WQ,GULN WQ Monitoring at Jean Lafitte N.H.P. and Preserve
Gulf Coast Network,GULN,NATR_L1,Natchez Trace Parkway Level I Water Quality Inventory
Gulf Coast Network,GULN,NATR_WQ,GULN WQ Monitoring at Natchez Trace Parkway
Gulf Coast Network,GULN,PAAL_WQ,GULN WQ Monitoring at Palo Alto Battlefield N.H.P.
Gulf Coast Network,GULN,PAIS_WQ,GULN WQ Monitoring at Padre Island National Seashore
Gulf Coast Network,GULN,SAAN_WQ,GULN WQ Monitoring at San Antonio Missions N.H.P.
Gulf Coast Network,GULN,VICK_WQ,GULN WQ Monitoring at Vicksburg National Military Park
Heartland Network,HTLN,HTLN_WQ,HTLN WQ Monitoring
Klamath Network,KLMN,KLMN0001,Stream Monitoring in Klamath Network Parks
Klamath Network,KLMN,KLMN0002,Lake Monitoring in Klamath Network Parks
Mid-Atlantic Network,MIDN,MIDN_APCO_WQ,Appomattox Court House National Historical Park Vital Signs Water Quality Monitoring
