"","UNIT_CODE","UNIT_NAME","NetworkCode","NetworkName","Linked_UNIT_CODE","Linked_UNIT_NAME"
"1","ABLI","Abraham Lincoln Birthplace National Historical Park","CUPN","Cumberland Piedmont Network",NA,NA
"2","ACAD","Acadia National Park","NETN","Northeast Temperate Network",NA,NA
"3","AGFO","Agate Fossil Beds National Monument","NGPN","Northern Great Plains Network",NA,NA
"4","ALAG","Alagnak Wild River","SWAN","Southwest Alaska Network",NA,NA
"5","ALFL","Alibates Flint Quarries National Monument","SOPN","Southern Plains Network",NA,NA
"6","ALKA","Ala Kahakai National Historic Trail","PACN","Pacific Island Network",NA,NA
"7","ALPO","Allegheny Portage Railroad National Historic Site","ERMN","Eastern Rivers and Mountains Network",NA,NA
"8","AMIS","Amistad National Recreation Area","CHDN","Chihuahuan Desert Network",NA,NA
"9","AMME","American Memorial Park","PACN","Pacific Island Network",NA,NA
"10","ANIA","Aniakchak National Monument & Preserve","SWAN","Southwest Alaska Network",NA,NA
"11","ANTI","Antietam National Battlefield","NCRN","National Capital Region Network",NA,NA
"12","APCO","Appomattox Court House National Historical Park","MIDN","Mid-Atlantic Network",NA,NA
"13","APIS","Apostle Islands National Lakeshore","GLKN","Great Lakes Network",NA,NA
"14","APPA","Appalachian National Scenic Trail","NETN","Northeast Temperate Network",NA,NA
"15","ARCH","Arches National Park","NCPN","Northern Colorado Plateau Network",NA,NA
"16","ARHO","Arlington House, The Robert E. Lee Memorial","NCRN","National Capital Region Network",NA,NA
"17","ARPO","Arkansas Post National Memorial","HTLN","Heartland Network",NA,NA
"18","ASIS","Assateague Island National Seashore","NCBN","Northeast Coastal and Barrier Network",NA,NA
"19","AZRU","Aztec Ruins National Monument","SCPN","Southern Colorado Plateau Network",NA,NA
"20","BADL","Badlands National Park","NGPN","Northern Great Plains Network",NA,NA
"21","BAND","Bandelier National Monument","SCPN","Southern Colorado Plateau Network",NA,NA
"22","BELA","Bering Land Bridge National Preserve","ARCN","Arctic Network",NA,NA
"23","BEOL","Bent's Old Fort National Historic Site","SOPN","Southern Plains Network",NA,NA
"24","BIBE","Big Bend National Park","CHDN","Chihuahuan Desert Network",NA,NA
"25","BICA","Bighorn Canyon National Recreation Area","GRYN","Greater Yellowstone Network",NA,NA
"26","BICY","Big Cypress National Preserve","SFCN","South Florida/Caribbean Network",NA,NA
"27","BIHO","Big Hole National Battlefield","UCBN","Upper Columbia Basin Network",NA,NA
"28","BISC","Biscayne National Park","SFCN","South Florida/Caribbean Network",NA,NA
"29","BISO","Big South Fork National River and Recreation Area","APHN","Appalachian Highlands Network",NA,NA
"30","BITH","Big Thicket National Preserve","GULN","Gulf Coast Network",NA,NA
"31","BLCA","Black Canyon of the Gunnison National Park","NCPN","Northern Colorado Plateau Network",NA,NA
"32","BLRI","Blue Ridge Parkway","APHN","Appalachian Highlands Network",NA,NA
"33","BLUE","Bluestone National Scenic River","ERMN","Eastern Rivers and Mountains Network",NA,NA
"34","BOHA","Boston Harbor Islands National Recreation Area","NETN","Northeast Temperate Network",NA,NA
"35","BOWA","Booker T. Washington National Monument","MIDN","Mid-Atlantic Network",NA,NA
"36","BRCA","Bryce Canyon National Park","NCPN","Northern Colorado Plateau Network",NA,NA
