"","UNIT_CODE","UNIT_NAME","NetworkCode","NetworkName","Linked_UNIT_CODE","Linked_UNIT_NAME"
"1","ABLI","Abraham Lincoln Birthplace National Historical Park","CUPN","Cumberland Piedmont Network",NA,NA
"2","ACAD","Acadia National Park","NETN","Northeast Temperate Network",NA,NA
"3","ADAM","Adams National Historical Park",NA,NA,NA,NA
"4","AFBG","African Burial Ground National Monument",NA,NA,NA,NA
"5","AGFO","Agate Fossil Beds National Monument","NGPN","Northern Great Plains Network",NA,NA
"6","ALAG","Alagnak Wild River","SWAN","Southwest Alaska Network",NA,NA
"7","ALFL","Alibates Flint Quarries National Monument","SOPN","Southern Plains Network",NA,NA
"8","ALKA","Ala Kahakai National Historic Trail","PACN","Pacific Island Network",NA,NA
"9","ALPO","Allegheny Portage Railroad National Historic Site","ERMN","Eastern Rivers and Mountains Network",NA,NA
"10","AMCH","Amache National Historic Site",NA,NA,NA,NA
"11","AMIS","Amistad National Recreation Area","CHDN","Chihuahuan Desert Network",NA,NA
"12","AMME","American Memorial Park","PACN","Pacific Island Network",NA,NA
"13","ANDE","Andersonville National Historic Site",NA,NA,NA,NA
"14","ANIA","Aniakchak National Monument & Preserve","SWAN","Southwest Alaska Network",NA,NA
"15","ANJO","Andrew Johnson National Historic Site",NA,NA,NA,NA
"16","ANTI","Antietam National Battlefield","NCRN","National Capital Region Network",NA,NA
"17","APCO","Appomattox Court House National Historical Park","MIDN","Mid-Atlantic Network",NA,NA
"18","APIS","Apostle Islands National Lakeshore","GLKN","Great Lakes Network",NA,NA
"19","APPA","Appalachian National Scenic Trail","NETN","Northeast Temperate Network",NA,NA
"20","ARCH","Arches National Park","NCPN","Northern Colorado Plateau Network",NA,NA
"21","ARHO","Arlington House, The Robert E. Lee Memorial","NCRN","National Capital Region Network",NA,NA
"22","ARPO","Arkansas Post National Memorial","HTLN","Heartland Network",NA,NA
"23","ASIS","Assateague Island National Seashore","NCBN","Northeast Coastal and Barrier Network",NA,NA
"24","AZRU","Aztec Ruins National Monument","SCPN","Southern Colorado Plateau Network",NA,NA
"25","BADL","Badlands National Park","NGPN","Northern Great Plains Network",NA,NA
"26","BAND","Bandelier National Monument","SCPN","Southern Colorado Plateau Network",NA,NA
"27","BELA","Bering Land Bridge National Preserve","ARCN","Arctic Network",NA,NA
"28","BEOL","Bent's Old Fort National Historic Site","SOPN","Southern Plains Network",NA,NA
"29","BEPA","Belmont-Paul Women's Equality National Monument",NA,NA,NA,NA
"30","BIBE","Big Bend National Park","CHDN","Chihuahuan Desert Network",NA,NA
"31","BICA","Bighorn Canyon National Recreation Area","GRYN","Greater Yellowstone Network",NA,NA
"32","BICR","Birmingham Civil Rights National Monument",NA,NA,NA,NA
"33","BICY","Big Cypress National Preserve","SFCN","South Florida/Caribbean Network",NA,NA
"34","BIHO","Big Hole National Battlefield","UCBN","Upper Columbia Basin Network",NA,NA
"35","BISC","Biscayne National Park","SFCN","South Florida/Caribbean Network",NA,NA
"36","BISO","Big South Fork National River and Recreation Area","APHN","Appalachian Highlands Network",NA,NA
"37","BITH","Big Thicket National Preserve","GULN","Gulf Coast Network",NA,NA
"38","BLCA","Black Canyon of the Gunnison National Park","NCPN","Northern Colorado Plateau Network",NA,NA
